ShipAvg,customer_zip_code_prefix
Priority,1003
Priority,1004
Standard,1005
Standard,1006
Standard,1007
Standard,1008
Slow,1009
Standard,1011
Standard,1012
Standard,1013
Standard,1014
Standard,1015
Standard,1016
Slow,1017
Slow,1019
Slow,1020
Slow,1021
Slow,1022
Standard,1023
Standard,1024
Standard,1025
Slow,1026
Standard,1027
Standard,1030
Standard,1031
Standard,1032
Slow,1033
Standard,1035
Standard,1036
Slow,1037
Standard,1038
Slow,1041
Slow,1042
Slow,1043
Standard,1044
Slow,1045
Standard,1046
Slow,1047
Standard,1048
Slow,1049
Slow,1050
Slow,1102
Standard,1103
Slow,1105
Slow,1106
Slow,1107
Standard,1108
Standard,1120
"Very slow",1121
Standard,1122
Standard,1123
Standard,1124
Standard,1125
Standard,1127
Slow,1129
Slow,1131
Standard,1132
Standard,1134
Standard,1135
Priority,1136
Standard,1137
Slow,1138
Standard,1139
"Very slow",1140
"Very slow",1141
Standard,1144
Slow,1150
Slow,1151
Standard,1152
Standard,1153
Slow,1154
Standard,1155
Slow,1156
Standard,1201
"Very slow",1202
Slow,1203
Standard,1204
Slow,1205
Standard,1206
Slow,1207
Priority,1208
Slow,1209
Slow,1210
Slow,1211
"Very slow",1213
Standard,1214
Slow,1215
Slow,1216
Standard,1217
Standard,1218
Standard,1219
Slow,1220
Slow,1221
Standard,1222
Standard,1223
Slow,1224
Slow,1225
Slow,1226
Slow,1227
Slow,1228
Slow,1229
Standard,1230
Slow,1231
Slow,1232
Slow,1233
Standard,1234
Slow,1235
Priority,1237
Slow,1238
Standard,1239
Slow,1240
Slow,1241
Slow,1242
Slow,1243
Standard,1244
Slow,1246
Slow,1248
Slow,1250
Standard,1251
Slow,1252
"Very slow",1253
"Very slow",1254
Standard,1255
Standard,1256
Standard,1257
Standard,1258
Standard,1259
Slow,1301
Slow,1302
Slow,1303
Slow,1304
Standard,1305
Standard,1306
Standard,1307
Standard,1308
Slow,1309
Slow,1310
Standard,1311
Standard,1312
Slow,1313
Standard,1314
Slow,1315
Standard,1316
Standard,1317
Slow,1318
Slow,1319
Standard,1320
Standard,1321
Slow,1322
Standard,1323
Slow,1324
Slow,1325
Slow,1326
Slow,1327
Slow,1328
Standard,1329
Slow,1330
Standard,1331
Slow,1332
Slow,1333
Standard,1401
Slow,1402
Standard,1403
Standard,1404
Standard,1405
Slow,1406
Standard,1407
Slow,1408
Slow,1409
Slow,1410
Standard,1411
Slow,1412
Slow,1413
Slow,1414
Standard,1415
Slow,1416
Slow,1417
Slow,1418
Standard,1419
Slow,1420
Standard,1421
Standard,1422
Slow,1423
Standard,1424
Standard,1425
Standard,1426
Standard,1427
Slow,1429
Standard,1430
Priority,1431
Standard,1432
Standard,1433
Standard,1434
Standard,1435
Standard,1438
Standard,1440
Standard,1442
Slow,1443
Slow,1444
Standard,1445
Standard,1447
Standard,1448
Slow,1450
Slow,1451
Standard,1452
Slow,1453
Slow,1454
Slow,1455
Slow,1456
Standard,1457
Slow,1501
Priority,1502
Standard,1503
Standard,1504
Standard,1505
Standard,1506
Slow,1507
Standard,1508
Slow,1509
Standard,1510
Standard,1511
Slow,1512
Standard,1513
Standard,1514
Standard,1516
Slow,1517
Standard,1518
Standard,1519
Standard,1520
Slow,1521
Standard,1522
Priority,1523
Priority,1524
Standard,1525
Slow,1526
Slow,1527
Slow,1528
Standard,1529
Standard,1530
Slow,1531
Standard,1532
Slow,1533
Slow,1534
Slow,1535
Standard,1536
Standard,1537
Slow,1538
Slow,1539
Slow,1540
Standard,1541
Slow,1542
Standard,1543
Standard,1544
Standard,1545
Standard,1546
Standard,1547
Standard,1548
Standard,1549
Standard,1550
Slow,1551
"Very slow",1552
Standard,2010
Standard,2011
Standard,2012
Standard,2013
Slow,2016
Slow,2017
Standard,2018
Standard,2019
Slow,2020
Standard,2021
"Very slow",2022
Slow,2029
Standard,2031
Slow,2033
Priority,2034
Standard,2035
Slow,2036
Slow,2037
Slow,2038
Slow,2039
Slow,2040
Slow,2041
Slow,2042
Slow,2043
Slow,2044
Standard,2045
Slow,2046
Standard,2050
"Very slow",2051
Standard,2052
